material_type,year,month,waste_quantity,sold_out_qty,isSuccessfull,months_to_sell,isSuccessfulMonth,unit_price_lkr,trend_status_code,recommended_unit_price
Blended,2025,12,1060.0,281.0,0,9.2,0,350.98,0,245.24
Chenille,2025,12,1295.0,827.2,1,6.9,1,709.65,1,738.5
Corduroy,2025,12,1838.0,921.3,0,8.5,0,562.86,0,591.78
Cotton,2025,12,1438.0,219.0,0,10.8,0,467.12,0,421.94
Crepe,2025,12,2335.0,934.8,0,8.2,0,553.28,0,433.12
Denim,2025,12,330.0,39.1,0,11.2,0,477.56,0,416.74
Fleece,2025,12,969.0,726.6,1,4.7,1,424.03,1,445.1
Leather,2025,12,1415.0,1405.1,1,4.0,1,1624.7,1,1914.28
Linen,2025,12,1384.0,517.4,0,6.9,0,626.41,0,509.24
Nylon,2025,12,221.0,23.5,0,12.0,0,317.33,0,264.08
Polyester,2025,12,674.0,438.5,1,6.4,1,239.03,1,180.18
Satin,2025,12,2247.0,815.5,1,8.9,0,673.01,0,707.81
Silk,2025,12,1175.0,363.7,0,9.9,0,1171.65,0,1438.87
Terrycloth,2025,12,762.0,338.5,1,8.5,0,398.37,0,463.03
Viscose,2025,12,1467.0,928.9,1,6.9,0,391.4,1,364.4
Wool,2025,12,846.0,214.4,0,9.5,0,869.03,0,880.62
Blended,2025,11,2414.0,270.2,0,12.0,0,329.5,0,285.36
Chenille,2025,11,800.0,775.3,1,3.2,1,664.85,1,603.64
Corduroy,2025,11,441.0,197.1,1,8.7,0,565.15,0,649.16
Cotton,2025,11,1563.0,495.4,0,8.0,0,422.25,0,403.22
Crepe,2025,11,1678.0,1089.0,1,5.8,1,596.03,1,583.82
Denim,2025,11,975.0,127.7,0,11.3,0,475.72,0,376.91
Fleece,2025,11,2453.0,1108.6,1,7.5,0,418.96,0,363.87
Leather,2025,11,1785.0,1242.8,1,5.4,1,1427.24,1,1605.18
Linen,2025,11,1221.0,693.6,0,7.3,1,612.03,1,746.22
Nylon,2025,11,1329.0,811.9,1,5.9,1,321.43,1,237.71
Polyester,2025,11,1700.0,1653.5,1,3.1,1,233.86,1,312.3
Satin,2025,11,1779.0,1682.1,1,3.7,1,627.83,1,798.88
Silk,2025,11,2181.0,2037.0,1,3.0,1,1072.47,1,1536.24
Terrycloth,2025,11,1015.0,399.8,0,10.2,0,387.64,0,378.36
Viscose,2025,11,1475.0,207.5,0,10.4,0,419.21,0,282.49
Wool,2025,11,537.0,314.5,1,8.0,1,868.01,0,928.86
Blended,2025,10,991.0,417.3,0,6.6,0,333.08,0,420.47
Chenille,2025,10,963.0,622.4,1,7.1,1,709.65,1,757.98
Corduroy,2025,10,692.0,157.0,0,9.0,0,613.1,0,429.74
Cotton,2025,10,2262.0,562.7,0,9.6,0,459.07,0,356.09
Crepe,2025,10,1567.0,713.6,0,7.8,1,567.25,0,416.38
Denim,2025,10,1695.0,191.0,0,10.6,0,449.09,0,339.58
Fleece,2025,10,1722.0,1267.7,1,4.7,1,446.35,1,428.04
Leather,2025,10,578.0,96.3,0,9.1,0,1520.34,0,1151.55
Linen,2025,10,2478.0,1699.8,1,4.1,1,550.42,1,478.27
Nylon,2025,10,2382.0,2060.5,1,3.2,1,291.74,1,285.67
Polyester,2025,10,979.0,389.5,0,8.6,0,239.03,0,273.56
Satin,2025,10,702.0,266.7,0,8.5,0,702.19,0,735.15
Silk,2025,10,1951.0,1364.4,1,5.6,0,1015.93,1,1235.08
Terrycloth,2025,10,2095.0,727.5,0,9.0,0,406.72,0,387.87
Viscose,2025,10,1770.0,929.2,1,6.3,1,380.07,0,397.18
Wool,2025,10,1685.0,1455.9,1,4.5,1,873.1,1,914.1
Blended,2025,9,1228.0,743.1,1,5.6,0,359.94,1,291.99
Chenille,2025,9,597.0,325.0,1,7.4,1,628.19,0,722.92
Corduroy,2025,9,592.0,437.8,1,5.4,1,614.24,1,674.13
Cotton,2025,9,1684.0,474.1,0,8.0,0,456.77,0,316.56
Crepe,2025,9,1063.0,715.2,1,6.2,1,660.15,1,770.28
Denim,2025,9,763.0,463.1,1,6.3,1,537.26,1,620.04
Fleece,2025,9,2123.0,1946.4,1,4.4,1,440.26,1,595.09
Leather,2025,9,2478.0,1163.0,0,9.2,1,1556.15,0,1565.21
Linen,2025,9,740.0,226.4,0,9.5,0,575.06,0,551.34
Nylon,2025,9,1383.0,883.7,0,7.4,1,291.74,1,314.72
Polyester,2025,9,2019.0,1891.3,1,2.2,1,227.65,1,304.13
Satin,2025,9,1797.0,1204.1,1,5.7,1,608.07,1,450.14
Silk,2025,9,995.0,819.2,1,4.9,1,1092.86,1,1098.82
Terrycloth,2025,9,1563.0,1411.9,1,4.6,1,381.67,1,428.94
Viscose,2025,9,1554.0,609.0,0,9.2,0,412.0,0,376.83
Wool,2025,9,2238.0,2028.7,1,3.1,1,849.7,1,1209.81
Blended,2025,8,2437.0,485.1,0,11.0,0,327.71,0,237.56
Chenille,2025,8,1600.0,1092.7,1,6.1,1,633.29,1,823.71
Corduroy,2025,8,1172.0,1025.1,1,4.2,1,537.75,1,520.54
Cotton,2025,8,909.0,508.7,1,5.4,0,482.08,1,455.12
Crepe,2025,8,848.0,454.8,1,9.2,0,574.65,0,653.6
Denim,2025,8,1457.0,588.4,0,8.4,0,544.6,0,487.99
Fleece,2025,8,2198.0,552.7,0,8.2,0,452.43,0,449.34
Leather,2025,8,1831.0,1102.8,1,5.9,0,1387.34,1,1134.2
Linen,2025,8,1336.0,211.6,0,11.0,0,567.88,0,589.64
Nylon,2025,8,763.0,245.8,0,9.5,0,322.45,0,358.41
Polyester,2025,8,1836.0,654.3,0,8.5,0,253.52,0,241.96
Satin,2025,8,898.0,582.4,1,6.5,1,683.37,1,648.88
Silk,2025,8,841.0,395.2,0,7.9,0,1160.53,0,788.76
Terrycloth,2025,8,1054.0,369.7,0,9.8,0,388.83,0,446.91
Viscose,2025,8,1861.0,428.8,0,10.8,0,382.13,0,317.75
Wool,2025,8,1907.0,959.2,1,7.1,0,816.12,0,741.41
Blended,2025,7,1933.0,614.4,0,9.6,0,359.94,0,444.43
Chenille,2025,7,1035.0,178.8,0,10.5,0,675.03,0,618.29
Corduroy,2025,7,322.0,102.4,1,8.6,0,554.87,0,552.87
Cotton,2025,7,493.0,212.5,0,8.2,0,428.01,0,577.99
Crepe,2025,7,397.0,182.2,1,9.7,1,597.67,1,607.81
Denim,2025,7,2391.0,2036.6,1,4.7,1,466.54,1,377.31
Fleece,2025,7,1347.0,750.8,1,6.4,1,473.74,1,444.22
Leather,2025,7,1994.0,1259.8,1,8.4,1,1489.65,1,1518.03
